220-교수연구실(정보통신-강현철),126.6339327,37.3744229,126.6339075,37.3743953,126.6339647,37.3743607,126.6339895,37.3743871,126.6339327,37.3744229,,,,,,,,
221-교수연구실(정보통신-노송),126.6339075,37.3743953,126.6338814,37.3743667,126.6339382,37.3743327,126.6339647,37.3743607,126.6339075,37.3743953,,,,,,,,
222-교수연구실(정보통신-우요섭),126.6338814,37.3743667,126.633856,37.3743395,126.6339128,37.3743052,126.6339382,37.3743327,126.6338814,37.3743667,,,,,,,,
223-교수연구실(정보통신-이종길),126.633856,37.3743395,126.6338285,37.374311,126.633886,37.3742765,126.6339128,37.3743052,126.633856,37.3743395,,,,,,,,
224-교수연구실(정보통신-이기영),126.6338285,37.374311,126.6338031,37.3742836,126.6338602,37.3742488,126.633886,37.3742765,126.6338285,37.374311,,,,,,,,
225-교수연구실(정보통신-강승택),126.6338031,37.3742836,126.6337773,37.3742562,126.6338347,37.3742216,126.6338602,37.3742488,126.6338031,37.3742836,,,,,,,,
226-교수연구실(정보통신-박정훈),126.6337773,37.3742562,126.6337518,37.374229,126.633809,37.3741944,126.6338347,37.3742216,126.6337773,37.3742562,,,,,,,,
227-교수연구실(임베디드시스템-전광길),126.6337273,37.3742032,126.633785,37.3741694,126.6338093,37.374195,126.6337521,37.3742296,126.6337273,37.3742032,,,,,,,,
228-이동통신시스템,126.6337682,37.3741528,126.633718,37.3741002,126.6337814,37.3740613,126.6338314,37.3741157,126.6337682,37.3741528,,,,,,,,
229-영상연구실,126.633696,37.3741982,126.633645,37.3741443,126.633718,37.3741002,126.6337682,37.3741528,126.633696,37.3741982,,,,,,,,
201U-화장실(남),126.633596,37.3742049,126.6335774,37.3741854,126.633645,37.3741443,126.6336636,37.3741641,126.633596,37.3742049,,,,,,,,
202U-화장실(여),126.6339462,37.374568,126.6340169,37.3745256,126.6340345,37.3745444,126.6339651,37.3745864,126.6339462,37.374568,,,,,,,,
301-지능로봇시스템실험실,126.6335487,37.3742829,126.6334993,37.3742315,126.6335767,37.3741843,126.6336254,37.3742347,126.6335487,37.3742829,,,,,,,,
302-캡스톤디자인실험실,126.6335017,37.3742305,126.63355,37.3742818,126.6334072,37.3743683,126.6333579,37.3743171,126.6335017,37.3742305,,,,,,,,
303-학과학생회실-2(임베디드시스템),126.6333222,37.3743396,126.6333587,37.3743168,126.6334073,37.3743683,126.6333705,37.3743904,126.6333222,37.3743396,,,,,,,,
304-강의실(대)-계단식,126.6331551,37.3744431,126.6332242,37.3744011,126.6332882,37.374469,126.6333244,37.3744469,126.6333747,37.3744999,126.633268,37.3745641,126.6331551,37.3744431,,,,
305-프로그래밍실습실,126.6334044,37.3744819,126.6333568,37.3744307,126.6335011,37.3743424,126.633552,37.374392,126.6334044,37.3744819,,,,,,,,
306-임베디드SW실험실,126.6336393,37.3742597,26.6336882,37.3743106,126.633552,37.374392,126.6335011,37.3743424,126.6336393,37.3742597,,,,,,,,
309-학과사무실(임베디드시스템),126.6338178,37.3745653,126.6337695,37.3745139,126.6338449,37.3744683,126.6338933,37.3745202,126.6338178,37.3745653,,,,,,,,
310-실험준비실,126.633782,37.374588,126.6337316,37.374537,126.6337695,37.3745139,126.6338178,37.3745653,126.633782,37.374588,,,,,,,,
311-대학원강의실,126.6336797,37.37465,126.6336283,37.3745986,126.6337316,37.374537,126.633782,37.374588,126.6336797,37.37465,,,,,,,,
312-임베디드네트워크시스템 설계연구실,126.6335583,37.3746406,126.6336283,37.3745984,126.6336797,37.3746497,126.6336087,37.3746932,126.6335583,37.3746406,,,,,,,,
313-강의실(중),126.6335289,37.3746585,126.6335765,37.3747088,126.6334699,37.3747727,126.6334226,37.3747227,126.6335289,37.3746585,,,,,,,,
314-강의실(소)-1,126.6334869,37.3747901,126.6335597,37.3747461,126.6336099,37.3747995,126.6335372,37.3748434,126.6334869,37.3747901,,,,,,,,
315-ABEEK자료실,126.6335865,37.3747765,126.6335625,37.3747515,126.6336295,37.3747115,126.6336535,37.3747365,126.6335865,37.3747765,,,,,,,,
316-임베디드HW실습실,126.6336627,37.3746883,126.633769,37.3746246,126.6338183,37.3746758,126.6337102,37.3747409,126.6336627,37.3746883,,,,,,,,
317-창의설계실험실,126.6338183,37.3746758,126.633769,37.3746246,126.6339173,37.374536,126.6339662,37.3745858,126.6338183,37.3746758,,,,,,,,
318-임베디드SW설계실험실,126.6340331,37.374545,126.6339858,37.3744954,126.6340509,37.3744568,126.6340971,37.3745064,126.6340331,37.374545,,,,,,,,
319-모바일앱실험실,126.6340489,37.3744581,126.6341173,37.3744176,126.6341632,37.3744679,126.6340972,37.3745066,126.6340489,37.3744581,,,,,,,,
320-교수연구실(박기석),126.6339597,37.3744493,126.6340161,37.3744161,126.634042,37.3744438,126.6339869,37.3744773,126.6339597,37.3744493,,,,,,,,
321-교학실(정보기술대 교학실),126.6339126,37.3743994,126.6339683,37.3743646,126.6340161,37.3744161,126.63396,37.3744493,126.6339126,37.3743994,,,,,,,,
